date,action,ticker,name,reason
2012-01-05,removed,HANS,,rename → MNST: Hansen Natural renamed Monster Beverage.
2012-01-05,added,MNST,,rename ← HANS: Hansen Natural renamed Monster Beverage.
2012-01-13,removed,NDN,99¢ Only Stores,Market capitalization change. [ 403 ]
2012-01-13,added,CRI,Carter's,Market capitalization change. [ 403 ]
2012-02-03,removed,CRK,Comstock Resources,Market capitalization change. [ 402 ]
2012-02-03,added,POST,Post Holdings,Market capitalization change. [ 402 ]
2012-03-26,removed,SUG,Southern Union,Market capitalization change. [ 401 ]
2012-03-26,added,WXS,Wright Express,Market capitalization change. [ 401 ]
2012-04-30,removed,AM,American Greetings,Market capitalization change. [ 400 ]
2012-04-30,added,SVU,SUPERVALU,Market capitalization change. [ 400 ]
2012-05-15,removed,TNB,Thomas & Betts,Acquisition. [ 399 ]
2012-05-15,added,TPX,Tempur-Pedic International,Acquisition. [ 399 ]
2012-06-28,removed,MNST,Monster Beverage,Spin-off. [ 398 ]
2012-06-28,added,HSH,Hillshire Brands,Spin-off. [ 398 ]
2012-06-29,removed,PCX,Patriot Coal,Spin-off. [ 397 ]
2012-07-31,removed,GPRO,Gen-Probe,Acquisition. [ 396 ]
2012-07-31,added,SWI,SolarWinds,Acquisition. [ 396 ]
2012-08-07,removed,LNCR,Lincare Holdings,Acquisition. [ 395 ]
2012-08-07,added,JAH,Jarden,Acquisition. [ 395 ]
2012-09-28,removed,PNR,Pentair,Spin-off. [ 394 ]
2012-09-28,added,DV,DeVry,Spin-off. [ 394 ]
2012-09-28,added,LXK,Lexmark,Spin-off. [ 393 ]
2012-10-01,removed,KFY,Korn/Ferry,Market capitalization change. [ 391 ]
2012-10-01,removed,PSS,Collective Brands,Acquisition. [ 392 ]
2012-10-01,added,ANR,Alpha Natural Resources,Market capitalization change. [ 391 ]
2012-10-01,added,GWR,Genesee & Wyoming,Acquisition. [ 392 ]
2012-10-04,removed,PETM,PetSmart,Market capitalization change. [ 390 ]
2012-10-04,added,CAB,Cabela's,Market capitalization change. [ 390 ]
2012-12-11,removed,MRX,Medicis Pharmaceutical,Acquisition. [ 389 ]
2012-12-11,added,RRD,R.R. Donnelley,Acquisition. [ 389 ]
2012-12-21,added,UNFI,United Natural Foods,Acquisition. [ 388 ]
2012-12-31,removed,ESI,ITT Educational Services,Spin-off. [ 387 ]
2012-12-31,added,FII,Federated Investors,Spin-off. [ 387 ]
2013-01-25,removed,AGL,,"derived from wiki revision diff (rev 534862350 @ 2013-01-25, prev 2012-12-21)"
2013-01-25,added,GAS,,"derived from wiki revision diff (rev 534862350 @ 2013-01-25, prev 2012-12-21)"
2013-01-29,removed,RAH,Ralcorp,Market capitalization change. [ 386 ]
2013-01-29,added,EXR,Extra Space Storage,Market capitalization change. [ 386 ]
2013-02-12,removed,SHAW,The Shaw Group,Acquisition. [ 385 ]
2013-02-12,added,PRI,Primerica,Acquisition. [ 385 ]
2013-02-28,removed,JEF,Jefferies Group,Market capitalization change. [ 384 ]
2013-02-28,added,KRC,Kilroy Realty,Market capitalization change. [ 384 ]
2013-04-15,removed,WXS,,rename → WEX: Wright Express renamed WEX Inc.; NYSE ticker change effective 2013-04-15.
2013-04-15,added,WEX,,rename ← WXS: Wright Express renamed WEX Inc.; NYSE ticker change effective 2013-04-15.
2013-04-30,added,EXP,Eagle Materials,Market capitalization change. [ 383 ]
2013-05-01,added,CST,CST Brands,Spin-off. [ 382 ]
2013-05-08,removed,MAC,The Macerich Company,Market capitalization change. [ 381 ]
2013-05-08,added,DDD,3D Systems,Market capitalization change. [ 381 ]
2013-05-23,removed,KSU,Kansas City Southern,Market capitalization change. [ 379 ]
2013-05-23,removed,KWK,Quicksilver Resources,Market capitalization change. [ 380 ]
2013-05-23,added,DF,Dean Foods,Market capitalization change. [ 379 ]
2013-05-23,added,WWAV,WhiteWave Foods,Market capitalization change. [ 380 ]
2013-05-30,removed,PXP,Plains Exploration & Production,Acquisition. [ 378 ]
2013-05-30,added,DPZ,Domino's Pizza,Acquisition. [ 378 ]
2013-06-21,removed,QLGC,QLogic,Market capitalization change. [ 377 ]
2013-06-21,added,FHN,First Horizon National,Market capitalization change. [ 377 ]
2013-06-28,removed,FST,Forest Oil,Spin-off. [ 375 ]
2013-06-28,added,APOL,Apollo Group,Spin-off. [ 375 ]
2013-06-28,added,MNK,Mallinckrodt,Spin-off. [ 376 ]
2013-07-30,removed,GDI,Gardner Denver,Acquisition. [ 374 ]
2013-07-30,added,SLXP,Salix Pharmaceuticals,Acquisition. [ 374 ]
2013-08-30,removed,STRA,Strayer Education,Spin-off. [ 373 ]
2013-08-30,added,MUSA,Murphy USA,Spin-off. [ 373 ]
2013-09-20,removed,AME,Ametek,Market capitalization change. [ 372 ]
2013-09-20,removed,VRTX,Vertex Pharmaceuticals,Market capitalization change. [ 371 ]
2013-09-20,added,AMD,Advanced Micro Devices,Market capitalization change. [ 371 ]
2013-09-20,added,SAI,SAIC,Market capitalization change. [ 372 ]
2013-09-26,removed,SFD,Smithfield Foods,Acquisition. [ 370 ]
2013-09-26,added,CBST,Cubist Pharmaceuticals,Acquisition. [ 370 ]
2013-09-27,removed,BKS,Barnes & Noble,Market capitalization change. [ 369 ]
2013-09-27,added,SAIC,Science Applications International,Market capitalization change. [ 369 ]
2013-09-30,removed,SAI,,rename → LDOS: SAIC restructuring: parent renamed Leidos (LDOS); the government-services business spun off as new SAIC.
2013-09-30,added,LDOS,,rename ← SAI: SAIC restructuring: parent renamed Leidos (LDOS); the government-services business spun off as new SAIC.
2013-10-30,removed,AAI,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,ACV,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,AMB,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,BEC,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,BEZ,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,BJ,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,BUCY,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,BWA,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,CBB,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,CECO,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,CPO,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,CUZ,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,EXBD,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,GAS,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,JCG,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,JOYG,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,JWA,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,KCI,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,KND,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,LKQX,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,LRCX,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,NAL,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,NCI,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,NST,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,OSG,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,PDE,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,PRSP,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,QSFT,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,removed,UTR,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,added,ACC,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,added,AHL,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,added,AMCX,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,added,BGC,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,added,BIG,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,added,BMR,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,added,CBOE,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,added,CEB,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,added,CLC,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
2013-10-30,added,CNK,,"derived from wiki revision diff (rev 579407482 @ 2013-10-30, prev 2013-07-25)"
